client_name,client_email,client_city,client_phone
Alpha Corp,alpha@corp.com,Delhi,9876543210
Beta Ltd,beta@ltd.com,Mumbai,9123456780
Gamma Traders,gamma@traders.com,Bangalore,9988776655
Delta Solutions,delta@solutions.com,Chennai,9765432109
Epsilon Systems,epsilon@systems.com,Hyderabad,9345678901
Zeta Enterprises,zeta@enterprises.com,Pune,9456789012
Theta Partners,theta@partners.com,Kolkata,9567890123
Sigma Group,sigma@group.com,Jaipur,9678901234
Omega Associates,omega@associates.com,Lucknow,9789012345
Nova Technologies,nova@technologies.com,Gurgaon,9890123456
