vendor_name,vendor_email,vendor_city,vendor_phone
SupplyCo,supply@co.com,Delhi,9988001122
Mega Distributors,mega@distributors.com,Mumbai,9877002233
QuickMart,quick@mart.com,Bangalore,9766003344
Prime Supplies,prime@supplies.com,Chennai,9655004455
Apex Traders,apex@traders.com,Hyderabad,9544005566
Zenith Corp,zenith@corp.com,Pune,9433006677
Horizon Vendors,horizon@vendors.com,Kolkata,9322007788
Stellar Supply,stellar@supply.com,Jaipur,9211008899
Matrix Distributors,matrix@distributors.com,Lucknow,9100009900
Orion Enterprises,orion@enterprises.com,Gurgaon,9991112233
